,SAM_gen,gen_bias,gen_bias_corrected,gen_clean,gen_curtailed
2017-01-01 08:00:00+00:00,0,0,0,0,0
2017-01-01 09:00:00+00:00,0,0,0,0,0
2017-01-01 10:00:00+00:00,0,0,0,0,0
2017-01-01 11:00:00+00:00,0,0,0,0,0
2017-01-01 12:00:00+00:00,0,0,0,0,0
2017-01-01 13:00:00+00:00,0,0,0,0,0
2017-01-01 14:00:00+00:00,0,0,0,0,0
2017-01-01 15:00:00+00:00,0,2.937692642,0,0,0
2017-01-01 16:00:00+00:00,0,9.520634651,0,0,0
2017-01-01 17:00:00+00:00,0,14.67068768,0,0,0
2017-01-01 18:00:00+00:00,0,18.33897781,0,0,0
2017-01-01 19:00:00+00:00,0,9.967514992,0,0,0
2017-01-01 20:00:00+00:00,0,20.00000191,0,0,0
2017-01-01 21:00:00+00:00,0,19.03731537,0,0,0
2017-01-01 22:00:00+00:00,0,4.084602356,0,0,0
2017-01-01 23:00:00+00:00,0,2.014568806,0,0,0
2017-01-02 00:00:00+00:00,0,0.188991174,0,0,0
2017-01-02 01:00:00+00:00,0,0,0,0,0
2017-01-02 02:00:00+00:00,0,0,0,0,0
2017-01-02 03:00:00+00:00,0,0,0,0,0
2017-01-02 04:00:00+00:00,0,0,0,0,0
2017-01-02 05:00:00+00:00,0,0,0,0,0
2017-01-02 06:00:00+00:00,0,0,0,0,0
2017-01-02 07:00:00+00:00,0,0,0,0,0
2017-01-02 08:00:00+00:00,0,0,0,0,0
2017-01-02 09:00:00+00:00,0,0,0,0,0
2017-01-02 10:00:00+00:00,0,0,0,0,0
2017-01-02 11:00:00+00:00,0,0,0,0,0
2017-01-02 12:00:00+00:00,0,0,0,0,0
2017-01-02 13:00:00+00:00,0,0,0,0,0
2017-01-02 14:00:00+00:00,0,0,0,0,0
2017-01-02 15:00:00+00:00,0,1.465576768,0,0,0
2017-01-02 16:00:00+00:00,0,5.349704742,0,0,0
2017-01-02 17:00:00+00:00,0,3.732980728,0,0,0
2017-01-02 18:00:00+00:00,0,14.78990459,0,0,0
2017-01-02 19:00:00+00:00,0,13.82051086,0,0,0
2017-01-02 20:00:00+00:00,0,10.30301762,0,0,0
2017-01-02 21:00:00+00:00,0,8.27589035,0,0,0
2017-01-02 22:00:00+00:00,0,1.471066594,0,0,0
2017-01-02 23:00:00+00:00,0,0.752795994,0,0,0
2017-01-03 00:00:00+00:00,0,0.020455757,0,0,0
2017-01-03 01:00:00+00:00,0,0,0,0,0
2017-01-03 02:00:00+00:00,0,0,0,0,0
2017-01-03 03:00:00+00:00,0,0,0,0,0
2017-01-03 04:00:00+00:00,0,0,0,0,0
2017-01-03 05:00:00+00:00,0,0,0,0,0
2017-01-03 06:00:00+00:00,0,0,0,0,0
2017-01-03 07:00:00+00:00,0,0,0,0,0
2017-01-03 08:00:00+00:00,0,0,0,0,0
2017-01-03 09:00:00+00:00,0,0,0,0,0
2017-01-03 10:00:00+00:00,0,0,0,0,0
2017-01-03 11:00:00+00:00,0,0,0,0,0
2017-01-03 12:00:00+00:00,0,0,0,0,0
2017-01-03 13:00:00+00:00,0,0,0,0,0
2017-01-03 14:00:00+00:00,0,0,0,0,0
2017-01-03 15:00:00+00:00,0,1.600056887,0,0,0
2017-01-03 16:00:00+00:00,0,5.713535309,0,0,0
2017-01-03 17:00:00+00:00,0,9.607608795,0,0,0
2017-01-03 18:00:00+00:00,0,9.327116966,0,0,0
2017-01-03 19:00:00+00:00,0,4.56137991,0,0,0
2017-01-03 20:00:00+00:00,0,4.181337357,0,0,0
2017-01-03 21:00:00+00:00,0,4.466533184,0,0,0
2017-01-03 22:00:00+00:00,0,5.596003532,0,0,0
2017-01-03 23:00:00+00:00,0,3.370363474,0,0,0
2017-01-04 00:00:00+00:00,0,0.325162232,0,0,0
2017-01-04 01:00:00+00:00,0,0,0,0,0
2017-01-04 02:00:00+00:00,0,0,0,0,0
2017-01-04 03:00:00+00:00,0,0,0,0,0
2017-01-04 04:00:00+00:00,0,0,0,0,0
2017-01-04 05:00:00+00:00,0,0,0,0,0
2017-01-04 06:00:00+00:00,0,0,0,0,0
2017-01-04 07:00:00+00:00,0,0,0,0,0
2017-01-04 08:00:00+00:00,0,0,0,0,0
2017-01-04 09:00:00+00:00,0,0,0,0,0
2017-01-04 10:00:00+00:00,0,0,0,0,0
2017-01-04 11:00:00+00:00,0,0,0,0,0
2017-01-04 12:00:00+00:00,0,0,0,0,0
2017-01-04 13:00:00+00:00,0,0,0,0,0
2017-01-04 14:00:00+00:00,0,0,0,0,0
2017-01-04 15:00:00+00:00,0,2.9043293,0,0,0
2017-01-04 16:00:00+00:00,0,9.312921524,0,0,0
2017-01-04 17:00:00+00:00,0,14.15937233,0,0,0
2017-01-04 18:00:00+00:00,0,17.43586159,0,0,0
2017-01-04 19:00:00+00:00,0,19.21866035,0,0,0
2017-01-04 20:00:00+00:00,0,19.51384926,0,0,0
2017-01-04 21:00:00+00:00,0,18.19352341,0,0,0
2017-01-04 22:00:00+00:00,0,12.44059849,0,0,0
2017-01-04 23:00:00+00:00,0,10.4996748,0,0,0
2017-01-05 00:00:00+00:00,0,3.434145212,0,0,0
2017-01-05 01:00:00+00:00,0,0,0,0,0
2017-01-05 02:00:00+00:00,0,0,0,0,0
2017-01-05 03:00:00+00:00,0,0,0,0,0
2017-01-05 04:00:00+00:00,0,0,0,0,0
